apk_name,api_calls,permissions,suspicious_resources,entropy,version,storage,base_name_length,top_level_domain_match,sensitive_api_count,label
mv_shuiguopai,9940,13,17,3.3927474104487847,2.2,13.16,13,1,46,white
Cucumber-Video（正能量）,10245,14,21,4.03740119765411,8.23286916,18.86,19,0,64,sex
pili212-230617,1744,13,20,3.182005814760214,2.12,22.72,14,1,4,sex
fulao2_202B,78,26,20,3.027169118440619,2.02,9.86,11,1,0,sex
whzq,9757,25,47,2.0,24.032,68.3,4,1,53,scam
HCZT,4974,13,11,2.0,1.0,18.74,4,1,11,scam
j856030wax,7172,22,48,3.121928094887362,4.0,20.27,10,1,20,gamble
zt,8128,12,39,1.0,3.2,17.72,2,1,61,sex
1681732829017,155,12,11,2.873140679513133,4.7,14.47,13,1,0,black
Qu_8.3.0009,13195,26,68,2.8453509366224368,8.30009,26.45,11,1,56,white
www,2665,6,7,-0.0,1.1,4.1,3,1,3,black
Eclipse,7571,26,59,10.0,1.17,47.22,7,0,50,scam
Lutwo.ver307,77,22,20,3.584962500721156,3.07,16.14,12,1,0,sex
com.vtufjr.nbdswrej,6128,19,48,10.0,1.0,8.33,19,0,20,scam
mv_douyinduanshipin,9940,13,17,3.5368867237421666,2.2,13.16,19,1,46,sex
qqww,4211,2,9,1.0,1.0,3.39,4,1,6,black
08dfd969cec257830fe0a1461bf95968,10724,32,77,3.8431390622295662,1.06,116.96,32,0,45,sex
6160069,13086,17,20,1.8423709931771084,2.01,17.96,7,1,67,sex
东方密信,11140,28,47,2.0,3.11,35.96,4,0,130,scam
onege_0930,16108,32,86,2.9219280948873623,9.99,28.83,10,1,103,white
yxwpjsq0298,12026,18,20,3.459431618637298,30.2,12.26,11,1,103,black
ivms4500hd_v4.1.5_downyi.com,6270,25,44,3.994680368408909,4.15,16.5,28,1,40,black
7539a28f18fb54af5ab62b824faf639d989878a471213aa2e2d02229363cfa8c,3275,17,56,3.758762649475541,27.34,79.25,64,1,3,black
hua,14990,72,88,10.0,1.0,68.83,3,0,287,scam
2857380,38,50,101,2.5216406363433186,1.2,87.89,7,1,2,black
815018,13086,17,20,1.9182958340544891,2.01,17.94,6,1,67,black
B0B118D714AB4D7EA4CEF94C5C920052-7-4,11445,25,83,3.798145057407474,5.02,58.5,36,1,21,sex
wallpaperad913_17043,6766,14,65,3.6841837197791887,2.215,91.35,20,0,13,white
ypcy,11254,35,56,1.5,2.1,32.5,4,0,60,white
wtszb,3566,11,27,2.321928094887362,1.0,48.56,5,1,3,scam
labstillalive21077708,29357,182,135,3.499227541723357,3.87,54.29,21,1,244,black
516992,12470,52,63,2.251629167387823,2.1,53.77,6,1,58,sex
dgfcvvbbv.ndsf34tewr.reysfawewew,12226,62,342,10.0,9.66,95.79,32,0,126,scam
mv_caomeishipin,9940,13,17,3.456564762130954,2.2,13.16,15,1,46,white
yy,7709,29,47,-0.0,1.3,36.59,2,0,50,white
eggplant_release_2023_07_19_16-48_v2.9.5.0_230712_jiagu_luodiye,12312,28,97,10.0,2.95,22.13,63,0,78,gamble
123ebf48f6c67f848243be607eff6833,9721,29,41,3.402518266288633,2.2,17.29,32,1,30,black
android_925081710147003,2757,2,5,3.795088586397733,1.02,1.3,23,1,5,gamble
zhihu_20230717115256_3.2.0-zxza281,3628,14,42,3.878068268345523,3.2,35.87,34,1,6,sex
yxwpjsq0020,12026,18,20,3.027169118440619,30.2,12.26,11,1,103,black
oneMallSystem9-v1.0.3,6693,25,31,4.106603137064474,1.03,17.88,21,0,51,white
caishunshop1113,18408,40,50,3.3232314287976203,1.11,64.1,15,0,154,gamble
xctvtbb969305,1606,9,258,3.238901256602631,5.2,45.92,13,1,6,black
dx_6001,15518,20,26,2.521640636343318,1.44,29.29,7,1,71,black
manmanlu_1002,4268,11,25,3.085055102756477,9.9999999999999,28.89,13,1,53,sex
reop4009,5685,22,58,2.75,6.2,26.48,8,1,6,gamble
reop4013,5685,22,60,3.0,6.2,23.15,8,1,6,gamble
inspectweigh2.0-1.0.3.1-online_1031_jiagu_sign,27,23,23,4.205536075989824,1.031,17.71,46,1,0,white
kuaigou70004,7836,15,32,3.0220552088742,2.42,33.27,12,1,32,white
zzxhyofficial,34,36,41,3.238901256602631,2.58,23.14,13,1,0,black
1.0.3,7725,29,51,1.9219280948873625,1.03,27.07,5,1,51,black
vcl1000001,34,36,52,1.9609640474436807,2.584,28.48,10,1,0,sex
PHSuperAPP,105,36,131,10.0,6.2,64.1,10,0,4,white
zdxbs_gps,8867,24,56,2.94770277922009,1.094,46.48,9,1,16,white
mv_beautybox,9940,13,17,3.418295834054489,2.2,13.15,12,1,46,white
1688969311784,3325,19,2,2.661226256269789,7.1017,1.55,13,1,10,black
Unistep_net,10466,45,34,2.9139770731827523,1.89,26.73,11,1,31,white
KK_Android,111,77,94,2.9219280948873623,8.052,71.41,10,1,0,white
mv_xiaolanshipin,9940,13,17,3.452819531114783,2.2,13.15,16,1,46,white
천국,15235,72,83,2.584962500721156,1.0,77.84,6,0,294,scam
2801835,16566,49,100,2.5216406363433186,1.38,71.01,7,1,158,black
211,34,12,14,10.0,1.0,11.91,3,0,0,sex
1697532276085,10482,27,53,3.085055102756477,1.0215,12.68,13,1,121,black
youxin,77,72,236,2.584962500721156,2.211,94.81,6,1,0,white
kdpay1067668,8523,28,41,3.188721875540867,1.089,48.28,12,0,9,white
qchx,11254,35,59,2.0,4.0,32.47,4,0,60,white
mv_xvideos,9940,13,17,3.121928094887362,2.2,13.16,10,1,46,white
712020,13086,17,20,1.9182958340544896,2.01,17.95,6,1,67,black
Light_qd12,27,14,32,3.321928094887362,2.15,25.65,10,1,0,white
com.ccywlw.tmymmhxp,14328,57,91,10.0,5.6929,39.29,19,0,72,scam
HLZQ,6713,25,33,2.0,1.0,24.09,4,0,51,scam
1.4.42_v2,27228,53,63,2.5032583347756456,1.442,49.72,9,1,211,black
ctzq,9784,9,191,10.0,1.0,36.52,4,0,26,scam
PFGEX,5833,32,106,2.321928094887362,1.0,11.51,5,0,48,scam
34943,6468,12,22,1.521928094887362,2.69,10.24,5,1,36,black
lds112,12765,33,75,2.251629167387823,1.12,57.97,6,0,57,white
천국,15235,72,83,1.0,1.0,77.84,2,0,294,scam
jdong_tlljg22,3741,14,21,3.085055102756477,2.6,16.26,13,1,7,sex
maomi_2_v1.0.3,3966,6,12,3.378783493486176,1.03,53.85,14,1,4,gamble
gbedegpna,106,13,9,10.0,1.0,17.92,9,0,1,sex
HCS,4961,12,52,1.584962500721156,1.0,18.67,3,1,11,scam
EoJTsSmkBgGLxVkjiZ5ZhvP9JzjFflvQ,14328,57,176,10.0,3.3847,45.97,32,0,72,scam
6fdccff2ad7c03e8c09de0295b9193f1,3386,9,64,3.702819531114783,2.11,353.0,32,1,23,sex
jjwt,11254,35,59,1.5,2.1,93.85,4,0,60,white
1669079100761592,9940,13,17,2.686278124459133,2.2,13.16,16,1,46,sex
488,7038,181,9,0.9182958340544896,2.03,4.54,3,1,27,sex
GS,7377,25,20,10.0,1.0,15.2,2,0,39,scam
16_base,105,13,34,10.0,1.023,46.02,7,0,4,black
18-hc454app-release,3715,4,5,3.5766176449086653,1.0,2.14,19,1,6,black
63b,4404,8,30,1.584962500721156,3.5,8.79,3,1,13,sex
19b397ddacd8c994db041046b10e9d80,11224,35,24,3.453626767019874,1.322,43.56,32,1,21,scam
avcar,7881,29,33,1.9219280948873625,1.0,24.56,5,0,51,sex
zjbwdl23cs,11637,22,43,3.321928094887362,2.9,47.26,10,1,126,white
20231025064023232,7488,48,59,2.424835634986198,1.03,24.41,17,1,241,black
fast_v2_1658903038509.1.1_2022-07-06_release,3479,18,50,4.118078209349709,2.11,19.96,44,1,4,black
🔗,14991,72,87,10.0,1.02,75.01,1,0,287,scam
base9,1494,7,13,2.321928094887362,1.0,5.43,5,0,3,scam
qooapp,16687,27,38,1.9182958340544896,8.19,20.43,6,1,52,white
2.2.1.3.3.4_collections,5054,10,31,3.584012370211935,2.21334,12.86,23,1,21,sex
shlsys0050,7868,12,27,2.3709505944546687,2.719,11.67,10,1,39,sex
bytl1806,21866,47,71,3.0,18.06,70.92,8,1,69,white
nucoaix.ucsoexwqly.npdpnpd,17275,64,132,3.873140679513132,2.7,68.01,26,0,284,scam
v.mp,1584,16,7,2.0,2.25,1.85,4,1,13,white
0f9dbc9a785e132b8fd5f832098e65b6,34,11,5,3.7806390622295662,5.5,4.27,32,1,2,black
❀ꗼ❀,14990,72,88,10.0,1.0,70.04,3,0,287,scam
x6gn13g51b,7172,22,48,2.9219280948873623,4.0,20.26,10,1,20,gamble
mengdui-v2.1.8-2-20230520024016527_nbhome1,7576,26,35,4.18348647198907,2.18,24.96,42,1,50,sex
dafanhao_official_vy5cnove_1.0.0,11480,22,98,3.929229296672175,1.0,25.76,32,1,20,black
mtsq_41549,6132,15,26,3.121928094887362,2.71,5.0,10,1,11,white
shlsys0260,7868,12,27,2.6464393446710157,2.719,11.64,10,1,39,sex
sxzsjb123456,14604,34,82,3.418295834054489,2.02,55.22,12,1,72,white
com.azure.authenticator_v6.2112.8250_downyi.com,14747,31,50,4.392265649909751,6.2112825,60.69,47,1,198,black
95至尊_1.0,2238,3,34,3.0,1.0,72.48,8,1,10,gamble
yxwpjsq0013,12026,18,20,3.277613436819116,30.2,12.27,11,1,103,black
base11,5988,23,38,2.2516291673878226,5.14,17.93,6,1,31,scam
dyy,15358,73,91,10.0,1.14,77.33,3,0,296,scam
20230323172942220044,9662,44,24,2.463865121950854,5.5032113,10.8,20,1,42,black
mmxxl-90024,1790,13,68,2.9139770731827523,2.01,83.52,11,1,3,white
sy,10761,46,173,10.0,4.73,35.58,2,0,31,scam
ce6d0ce684ed590604bcc09f615870e5,5009,17,26,3.488608500731241,6.12,11.64,32,1,60,scam
bbegad.dcdbce.aiahjf,4232,6,30,3.3086949695628416,1.0,12.84,20,0,19,scam
base12,14992,72,89,10.0,1.0,71.44,6,0,287,scam
1.0.2,34,29,50,1.9219280948873625,1.02,69.04,5,1,0,scam
xjyy_3.3.0.5_dangbei,4852,32,22,3.7841837197791888,3.305,5.47,20,1,5,white
hhdb7006,6457,13,16,2.5,1.0,62.83,8,1,15,gamble
htehtc,7750,25,40,1.9182958340544891,8.29,19.81,6,0,52,scam
346b2a4961918b32f9285b89a0ebeed0,27,49,38,3.679229296672175,1.5,30.04,32,1,0,black
cdj2j_qqq1,23,17,13,2.646439344671016,1.17,24.78,10,1,0,sex
maomi_1_v1.0.3,3966,6,12,3.235926350629033,1.03,53.85,14,1,4,sex
ddttmh0003,7668,12,26,2.4464393446710155,2.7,10.34,10,1,39,sex
spy-rename-1108_signed_20230914_165959,54,37,229,4.273728829005326,4.37,44.3,38,1,1,white
mmlu,4180,11,17,1.5,1.36,17.04,4,1,53,sex
base7,5098,24,24,2.321928094887362,1.0,46.08,5,1,6,scam
app_102,14740,28,25,2.5216406363433186,1.02,30.22,7,1,168,black
sotong_v2.0.6-20230615101223180,7576,25,53,3.689058215261919,2.07,28.98,31,1,50,sex
mv_xiaoketoushipin,9940,13,17,3.794653473544342,2.2,13.16,18,1,46,sex
巨星科技,14328,57,91,10.0,2.3068,38.95,4,0,72,scam
alsp_x1_2.1,7755,14,68,3.095795255000934,2.1,13.72,11,1,25,sex
zgm,3617,14,61,1.584962500721156,1.0,4.55,3,1,6,white
ty,8128,12,40,1.0,3.2,18.46,2,1,61,sex
feiyue30036,7864,15,31,2.9139770731827523,2.62,31.96,11,1,32,white
hbabhecb.dfiacfcc.ebjeeded,7380,9,10,3.147957872887235,1.0,7.35,26,0,10,scam
com.flmhf.flmhf,9792,30,44,2.6565647621309543,240102.0,67.76,15,1,56,scam
tianf.tfet.hsjl,4985,6,7,3.3232314287976203,1.0,14.62,15,0,12,scam
ykh,23,11,27,1.584962500721156,1.0,44.16,3,0,0,scam
缘起,15598,66,235,10.0,1.8,80.15,2,0,292,scam
XxMmYaWH,14479,67,122,3.0,2.7,49.45,8,0,277,scam
1ace25ed992a997d43362ed4f0665e95,3983,7,71,3.605337797403416,1.0,23.95,32,1,10,gamble
沃博联,14328,57,90,10.0,4.474,39.19,3,0,72,scam
yesj,16371,43,117,10.0,3.0,75.72,4,0,69,scam
yxwpfz0355,12023,18,18,3.1219280948873624,30.2,10.07,10,1,103,black
e10c56c391a1ecf23ba1f56ae974265d,416,13,2,3.757048827786958,5.31,0.09,32,0,1,black
ysh,2953,5,55,1.584962500721156,1.0,35.09,3,1,4,sex
joi_230727_7.8.0_45808,76,22,87,3.413088436425757,7.8,49.14,22,1,0,black
xlcs_2010,6456,13,18,2.9477027792200903,1.0,62.24,9,1,15,white
hls,15,15,70,1.584962500721156,1.43,28.99,3,1,0,black
ZTON,15358,73,91,10.0,1.14,77.33,4,0,296,scam
gah527_web,4145,6,3,3.321928094887362,1.0,3.08,10,1,10,gamble
doule1109,13794,32,70,2.94770277922009,1.02,96.37,9,1,69,white
mec_2.3.43,7910,36,520,2.9219280948873623,2.343,54.16,10,1,54,white
mysp_myhlw11_1.1,12028,21,78,3.125,1.1,29.5,16,1,36,sex
national_postman_1.5.0,34,34,98,3.663532754804253,1.5,68.18,22,1,0,white
cg51.313-230727,2207,22,49,3.1898980954642875,3.14,22.39,15,1,6,gamble
wjycnnzcd_147566,13010,22,158,3.625,2.6,85.65,16,1,120,white
MH_A_1.5.1_151_2023.11.07,13586,14,29,3.1434651896016472,1.51,12.17,25,1,34,sex
xingman-v3.1.1-20230617091656879_nbhome1,7576,24,43,4.325070520364182,3.11,28.41,40,1,50,sex
1686210245942,3325,18,2,2.873140679513133,7.1015,1.55,13,1,10,black
派大星,14993,72,204,10.0,1.0,70.4,3,0,288,scam
huaji,7037,181,10,2.321928094887362,2.0,4.27,5,1,27,white
38-hc142app-release,3715,4,5,3.6818808028034025,1.0,2.12,19,1,6,black
KFC_Brand,105,35,133,10.0,6.52,57.05,9,0,4,white
feiniao10021,5783,16,29,3.084962500721156,2.55,33.67,12,1,26,white
𝖞࿏𝖞,15358,73,92,10.0,1.14,87.31,3,0,296,scam
밤친구,10761,46,66,10.0,4.73,31.27,8,0,31,scam
oneMallSystem6-v1.0.3,6693,25,30,4.106603137064474,1.03,17.95,21,0,51,white
sjxqd,7749,23,48,10.0,10.01,23.82,5,0,52,scam
0bbc35dbd93c7f243ddd714062c45c19,33,11,6,3.566428031846024,3.5,6.78,32,1,0,black
0,3924,5,44,-0.0,1.0,26.87,1,1,10,sex
LG,855,3,12,1.0,1.32,8.09,2,0,1,scam
万柏合办,14996,72,79,10.0,1.0,68.96,4,0,287,scam
qwlm-2.2.3,10806,18,117,2.9219280948873623,2.23,109.75,10,1,71,scam
fjmz,159,5,32,2.0,0.27,52.87,4,1,3,black
ybdw_v1,12731,35,35,2.807354922057604,1.7,17.62,7,1,28,white
Lakala_Android,110,43,101,3.3248629576173574,9.3118,90.8,14,1,0,white
15gelin114,7505,28,40,2.8464393446710154,1.14,19.81,10,1,51,black
stt866384,83,51,365,10.0,15.4,92.06,9,0,4,sex
tiangua0109,13086,17,21,3.095795255000934,2.01,17.96,11,1,67,white
appStore-prod7ARelease7A-1.6.2-16020,3051,100,8,4.127986806877675,1.62,7.76,36,1,6,black
55f8bf5503e6f13829569f38d7298de6,10272,66,228,3.5039280318460246,10.23,68.62,32,1,161,black
1694420787330,6746,35,71,3.085055102756477,4.1813,19.43,13,1,35,black
202310131207209615,6906,24,34,2.725480556997868,1.08,17.82,18,1,51,black
4d73ea74daabff284a5ecc0030090104,3621,18,13,3.640319531114783,1.8,5.43,32,1,17,sex
1696917034831,11284,39,41,2.873140679513133,7.01040008,32.62,13,1,42,black
00a918d86701af1b1acf12cfce132c01,27,14,51,3.463710641914682,5.27,24.79,32,1,0,black
magazine1.1.0,9126,26,40,3.238901256602631,1.1,26.96,13,1,51,white
ths_dt,25423,32,381,2.2516291673878226,9.0031,85.31,6,1,143,scam
com.huaxiaozhu.rider_123767,18161,38,84,4.162294909570877,1.4,51.73,27,1,143,black
Palipali,77,22,17,2.25,2.653457,13.94,8,1,0,sex
app_v2.0.3,10704,22,27,2.9219280948873623,2.03,36.15,10,1,12,sex
92ab024173eb7cd90383af987bcc0793,21848,51,91,3.616729296672175,8.8,42.31,32,1,163,black
release,7647,38,19,2.1280852788913944,1.26,17.62,7,1,7,white
lgwy,14328,57,90,10.0,3.175,38.67,4,0,72,scam
🤙🤙🤙,16968,64,115,10.0,2.7,69.51,3,0,284,scam
dge8161,7172,22,48,2.521640636343318,4.0,20.26,7,1,20,gamble
sftv_tcl051_1.1.1,15461,26,127,3.263933429485634,1.11,36.59,17,1,27,sex
etralab_appstore_android,5437,12,9,3.5535088547976788,0.17,5.01,24,1,6,white
wbmmacu25_105,1413,4,8,3.3927474104487847,1.01,1.91,13,1,4,sex
ls,14235,59,39,1.0,1.24,15.96,2,1,68,white
bible,11911,10,45,1.9219280948873625,3.35,28.13,5,1,26,black
bgjdrzcxxt,9758,189,19,3.1219280948873624,14.701,40.75,10,1,36,black
qiangzhuan_v0.7_downyi.com,699,2,7,4.132944044980958,0.7,23.48,26,0,6,white
console-release4.2.56.2,12947,28,32,3.621175542919471,4.2562,20.15,23,1,36,white
sczq,7750,25,40,2.0,8.29,20.8,4,0,52,scam
403,34,12,14,10.0,10.312152,11.96,3,0,0,sex
713011,13086,17,20,1.7924812503605778,2.01,17.98,6,1,67,black
4t1y0tu91ups5zlr9g,7172,22,48,3.725480556997868,4.0,20.28,18,1,20,gamble
soutong,19226,57,199,2.5216406363433186,5.1600409,68.1,7,1,57,sex
607029,13086,17,20,2.2516291673878226,2.01,17.95,6,1,67,black
公安检察系统,4094,32,17,10.0,48.558913,8.82,6,0,51,scam
paiqiushaonian_v1.5.0_downyi.com,9759,11,91,4.093139062229566,1.5,33.46,32,1,16,black
Lakala_Android,110,43,101,3.3248629576173574,9.3118,90.8,14,1,0,scam
tzptqoyda,58,13,9,10.0,1.0,17.91,9,0,1,white
tenwin,6730,22,66,2.2516291673878226,0.176,49.55,6,1,33,white
wp-app-release,2968,9,19,2.8423709931771093,1.017,24.43,14,1,7,black
zqgmgwdhma9tx,7172,22,48,3.3927474104487847,4.0,20.26,13,1,20,gamble
IG,14992,72,217,10.0,1.0,78.37,2,0,287,scam
mmst,34,30,116,1.5,4.18,75.63,4,1,0,white
zjsoft0275,7818,12,26,3.321928094887362,2.705,11.02,10,1,39,sex
ajyl,3184,15,106,2.0,1.001,50.54,4,1,11,gamble
TJGC_20231114_1.0.3,27,34,71,3.300559092390954,1.03,54.21,19,1,0,white
jzdbz_v1.2.13_downyi.com,4574,7,88,3.970175521464345,1.213,85.51,24,1,27,white
渣打机构版,7750,25,39,10.0,1.09,22.09,5,0,52,scam
zlz_prod_v1.0.0_2020_1130_100_jiagu_sign_vivo,34,24,51,3.910491775024561,1.0,21.88,45,1,2,white
com.zshuall.fread_2a6d05ce,19831,33,61,4.132944044980958,1.08,25.1,26,1,203,black
jmqsbjmnq,5688,4,35,2.5032583347756456,0.0,21.7,9,1,6,white
4991940339434900,6814,11,13,10.0,1.0,5.85,16,0,14,scam
jdshop,3617,14,60,2.584962500721156,19.22,3.27,6,1,6,scam
MH_C_1.5.1_151_2023.11.07,13586,14,29,3.1434651896016472,1.51,12.17,25,1,34,sex
61909,6468,12,22,1.9219280948873625,2.69,10.26,5,1,36,sex
cartoon240313_cartoon_240309_4.0.3+114,6240,13,45,3.78714396069814,4.03,41.7,38,1,15,sex
feiji50003,7838,15,30,2.646439344671016,1.42,31.44,10,1,32,white
app-release6.5.0.0,37,40,92,3.30827083453526,6.511,59.97,18,0,2,white
51fulishev3.0.1,10798,22,23,3.640223928941852,3.01,26.54,15,1,12,sex
ahaspeed_android,2368,15,64,3.2806390622295662,3.3,47.73,16,1,2,black
com.ggle.android.gsf_13_33,3599,77,46,3.921029621737614,13.0,6.95,26,1,14,black
stmn,4246,7,8,2.0,1.0,1.66,4,1,15,black
1d6gxb13dg5b,7172,22,48,2.918295834054489,4.0,20.26,12,1,20,gamble
C_pfd001_baidurelease_V1.8.155_06_15_17_12,6825,23,16,4.072652614083033,1.815506151712,10.82,42,1,21,black
com.app.secufex,1350,8,3,3.373557262275185,4.0,1.94,15,1,1,scam
zc,2843,7,26,1.0,1.0,4.29,2,0,4,gamble
qysq1.5.0_154_11-03-20-13,23,15,75,3.3990795706241745,1.5,29.3,25,1,0,sex
xlcs_2001,6456,13,18,2.9477027792200903,1.0,62.24,9,1,15,white
91soyo,9256,32,32,2.251629167387823,1.15,19.63,6,0,55,white
